video_id,comment_id,author_display_name,published_at,like_count,comment_text,is_reply,parent_id,channel_id
zQ2ZJuUJeyo,UgwUny_Ycbm0j99A8c94AaABAg,@N0TCHILLZ,2025-08-24T17:08:36Z,0,"I saw a comment saying “ how is he supposed to take it out” and someone said “one at a time” 🤔 um no, they’re plastic balls with half filled with water. That’ll usually weigh up to 1-2 pounds, unless your pure bones then yeah. But they are not so it’s pretty easy.",0,,UCNJkpzNf1UqR0vM_4Gfki6A
qGXtMENJDps,UgxmqjMXPqkwAU-NkNh4AaABAg,@7ustM1,2025-05-22T15:07:21Z,1,"Stay save, healty n happy all👍",0,,UCbwkNXNEGMR7V659EDbDtOA
AFXLZ7FEJc4,UgxW4v22jRWdAmwIrVB4AaABAg,@aaronhill7599,2025-08-22T22:01:59Z,0,Things I don’t need on a Friday after a long week of American fascism … existential dread about rubber trees dying.,0,,UCmgoFJre47XjWtrWxPvZXQQ
H5Zj5UAt0ik,UgzJRWEuUE-zu5bnYoN4AaABAg,@byrdi-vixyl_fan,2025-09-06T16:50:16Z,1,Oguri cal,0,,UC-Rg55OXJxb6BKsDFSSqv6A
u_Lxkt50xOg,UgxZsd6GIhhcfcT4V294AaABAg,@iijj22gg,2025-06-26T19:41:21Z,1,You can tell he's using Linux because he's got the audio crackle bug,0,,UCv0gYUlkwyhaliJUHf2IRMg
zQ2ZJuUJeyo,Ugx6jPq_P6lJVrwfRZV4AaABAg,@anjofelesis,2025-08-19T09:30:19Z,0,thats what she said,0,,UCVKACxmpl3aItEW6HiFgNuw
za_HO2E3JEU,UgxPX5sdubS5zFpJK4x4AaABAg,@Kragatar,2025-07-24T14:52:14Z,0,Squirrels actually are pretty muscly if you imagine one scaled up to human size.,0,,UCaVQ04BGuvKv1-lrl6nXbUA
4T4AoXFDcD8,UgyOwJ2M54C5cX405iZ4AaABAg,@rafaelelmachs,2025-09-02T00:09:42Z,0,God bless this family,0,,UCydCQTU68aLGOCOKGRRayEg
y2y8ME02lX4,UgzhTCHZ_gIAy1YgLbB4AaABAg,@chimera2567,2025-08-19T18:16:02Z,0,Why do I feel like they got this idea from an Anime I just watched😅,0,,UCMt8X6lo0Pc9VdZmt58qjbw
thS4CtL5RKk,Ugw8lZDYLWrzKyeIhVZ4AaABAg,@fennycroft,2025-09-02T08:49:38Z,0,_casually taps nail into the glass_,0,,UCo_GAEofRCSUHVWIXn2YoIw
5QU20HMPZ3M,UgyynUwsgdw317Y3LAR4AaABAg,@CrystalsOnFireGD,2025-09-10T16:23:59Z,0,Please dungeons 2 😢🙏,0,,UCR6xXBj1wBSeptgoewkfnFQ
